sentence,label,augmentation_type,orig_index
neil warren earl burger here succeeded in making the mystery of four decades spine the springboard for a more immediate mystery in the present,1,synonym_replacement,0
neil burger here succeeded in making the enigma of four decades back the springboard for a more immediate enigma in the salute,1,synonym_replacement,0
neil burger here succeeded in making the mystery of four decades rearward the jumping off point for a more immediate mystery in the present,1,synonym_replacement,0
it is a ocular rorschach test and i must have failed,0,synonym_replacement,1
it is a ocular rorschach test and i must have failed,0,synonym_replacement,1
it is a visual rorschach test and i mustiness have failed,0,synonym_replacement,1
the only way to suffer this insipid brutally clueless film might be with a large dose of painkillers,0,synonym_replacement,2
the only way to tolerate this insipid brutally clueless take might be with a large dose of painkillers,0,synonym_replacement,2
the only way of life to tolerate this insipid brutally clueless film might be with a large dose of painkillers,0,synonym_replacement,2
scores no points for originality wit or intelligence service,0,synonym_replacement,3
lots no points for originality wit or intelligence,0,synonym_replacement,3
scores no signal for originality wit or intelligence,0,synonym_replacement,3
it would take a complete moron to foul up a screen adaptation of oscar wilde is hellenic satire,0,synonym_replacement,4
it would take a complete moron to foul up a screen adaption of oscar wilde is classic satire,0,synonym_replacement,4
it would take a complete idiot to foul up a screen adaptation of oscar wilde is classic satire,0,synonym_replacement,4
pure cinematic intoxication a wildly inventive mixture of funniness and melodrama tastelessness and swooning elegance,1,synonym_replacement,5
pure cinematic insobriety a wildly inventive mixture of comedy and melodrama tastelessness and swooning elegance,1,synonym_replacement,5
pure cinematic intoxication a wildly inventive mixture of comedy and melodrama tastelessness and faint elegance,1,synonym_replacement,5
it is not the initiatory time that director sara sugarman stoep to having characters drop their pants for laughs and not the last time she fails to provoke them,0,synonym_replacement,6
it is not the first time that theatre director sara sugarman stoops to having characters drop their pants for laughs and not the net time she fails to provoke them,0,synonym_replacement,6
it is not the first time that director sara sugarman stoops to having graphic symbol drop their knickers for laughs and not the last time she fails to provoke them,0,synonym_replacement,6
just the labour affect in creating the layered rankness of the imagery in this chiaroscuro of madness and light is astonishing,1,synonym_replacement,7
just the lying in involved in creating the layered richness of the imagery in this chiaroscuro of madness and lightheaded is astonishing,1,synonym_replacement,7
just the drive involved in creating the layer richness of the imagery in this chiaroscuro of madness and light is astonishing,1,synonym_replacement,7
matthew lillard is support to play shaggy,1,synonym_replacement,8
st matthew lillard is born to play shaggy,1,synonym_replacement,8
matthew lillard is born to play shagged,1,synonym_replacement,8
it is blue,0,synonym_replacement,9
it is sorry,0,synonym_replacement,9
it is somber,0,synonym_replacement,9
the picture has several strong performances,1,synonym_replacement,10
the film has several strong functioning,1,synonym_replacement,10
the motion picture show has several strong performances,1,synonym_replacement,10
munch is screenplay is tenderly observant of his graphic symbol,1,synonym_replacement,11
munch is screenplay is tenderly law abiding of his characters,1,synonym_replacement,11
munch is screenplay is tenderly law abiding of his characters,1,synonym_replacement,11
isabelle huppert excels as the puzzling mika and anna mouglalis is a stunning freshly young talent in one of chabrol is most intense psychological mysteries,1,synonym_replacement,12
