sentence,label,augmentation_type,orig_index
neil warren earl burger here succeeded in making the mystery of four decades spine the springboard for a more immediate mystery in the present,1,synonym_replacement,0
neil burger here succeeded in making the enigma of four decades back the springboard for a more immediate enigma in the salute,1,synonym_replacement,0
neil burger here succeeded in making the mystery of four decades rearward the jumping off point for a more immediate mystery in the present,1,synonym_replacement,0
neil burger here succeeded in making the thomas more mystery of four decades back the springboard point of departure for a more immediate mystery in the present,1,random_insertion,0
neil burger here succeeded in making the prompt mystery of four decades back the springboard for a more immediate mystery in the present,1,random_insertion,0
neil burger here succeeded in making the deliver mystery point of departure of four decades back the springboard for a more immediate mystery in the present,1,random_insertion,0
springboard burger here succeeded in making the mystery of four decades back the neil for a more the mystery in immediate present,1,random_swap,0
neil burger here making in succeeded the mystery of the decades back the springboard for a more immediate mystery in four present,1,random_swap,0
neil burger here decades in making the mystery of four succeeded back the more for a springboard immediate mystery in the present,1,random_swap,0
it is a ocular rorschach test and i must have failed,0,synonym_replacement,1
it is a ocular rorschach test and i must have failed,0,synonym_replacement,1
it is a visual rorschach test and i mustiness have failed,0,synonym_replacement,1
it is a visual psychometric test rorschach test and i must have failed,0,random_insertion,1
it is equal a visual rorschach test and i must have failed,0,random_insertion,1
it is a visual type a rorschach test and i must have failed,0,random_insertion,1
it is must visual rorschach test and i a have failed,0,random_swap,1
it is a visual failed test and i must have rorschach,0,random_swap,1
it is a visual failed test and i must have rorschach,0,random_swap,1
the only way to suffer this insipid brutally clueless film might be with a large dose of painkillers,0,synonym_replacement,2
the only way to tolerate this insipid brutally clueless take might be with a large dose of painkillers,0,synonym_replacement,2
the only way of life to tolerate this insipid brutally clueless film might be with a large dose of painkillers,0,synonym_replacement,2
the only way to tolerate this insipid brutally clueless film might be with a large flat dose of painkillers,0,random_insertion,2
the only way to tolerate this insipid brutally clueless film might be with a large dose cinema of painkillers,0,random_insertion,2
battery acid the only way to tolerate this insipid brutally clueless film might be with a large dose of painkillers,0,random_insertion,2
the only way to tolerate this insipid brutally clueless film with be might a large dose of painkillers,0,random_swap,2
film only way to tolerate this insipid brutally clueless the might be with a large dose of painkillers,0,random_swap,2
the only way to tolerate insipid this brutally clueless film might be with a large dose of painkillers,0,random_swap,2
scores no points for originality wit or intelligence service,0,synonym_replacement,3
lots no points for originality wit or intelligence,0,synonym_replacement,3
scores no signal for originality wit or intelligence,0,synonym_replacement,3
scores no points for originality wit nobelium or intelligence,0,random_insertion,3
scores no points for operating room originality wit or intelligence,0,random_insertion,3
scores no points for originality intelligence service wit or intelligence,0,random_insertion,3
scores for points no originality wit or intelligence,0,random_swap,3
wit no points for originality scores or intelligence,0,random_swap,3
originality no points for scores wit or intelligence,0,random_swap,3
it would take a complete moron to foul up a screen adaptation of oscar wilde is hellenic satire,0,synonym_replacement,4
it would take a complete moron to foul up a screen adaption of oscar wilde is classic satire,0,synonym_replacement,4
it would take a complete idiot to foul up a screen adaptation of oscar wilde is classic satire,0,synonym_replacement,4
