sentence,label,augmentation_type,orig_index
springboard burger here succeeded in making the mystery of four decades back the neil for a more the mystery in immediate present,1,random_swap,0
neil burger here making in succeeded the mystery of the decades back the springboard for a more immediate mystery in four present,1,random_swap,0
neil burger here decades in making the mystery of four succeeded back the more for a springboard immediate mystery in the present,1,random_swap,0
it is must visual rorschach test and i a have failed,0,random_swap,1
it is a visual failed test and i must have rorschach,0,random_swap,1
it is a visual failed test and i must have rorschach,0,random_swap,1
the only way to tolerate this insipid brutally clueless film with be might a large dose of painkillers,0,random_swap,2
film only way to tolerate this insipid brutally clueless the might be with a large dose of painkillers,0,random_swap,2
the only way to tolerate insipid this brutally clueless film might be with a large dose of painkillers,0,random_swap,2
scores for points no originality wit or intelligence,0,random_swap,3
wit no points for originality scores or intelligence,0,random_swap,3
originality no points for scores wit or intelligence,0,random_swap,3
it would take a moron complete to foul up a screen adaptation of oscar wilde is classic satire,0,random_swap,4
it would take a screen moron to foul up a complete adaptation of oscar wilde is classic satire,0,random_swap,4
it would take a complete moron to foul up a screen adaptation of oscar wilde is classic satire,0,random_swap,4
pure cinematic comedy a wildly inventive mixture of intoxication and melodrama tastelessness and swooning elegance,1,random_swap,5
tastelessness cinematic intoxication a wildly inventive mixture of comedy and melodrama pure and swooning elegance,1,random_swap,5
pure comedy intoxication a wildly inventive mixture of cinematic and melodrama tastelessness and swooning elegance,1,random_swap,5
it is not the first time drop director sara sugarman stoops to having characters that their pants for laughs to not the last time she fails and provoke them,0,random_swap,6
it is not the first time that director sara sugarman stoops to having pants drop their characters for laughs and not the time last she fails to provoke them,0,random_swap,6
it is not the first drop that director sara last stoops to having characters time their pants for laughs and not the sugarman time she fails to provoke them,0,random_swap,6
just the labour involved in layered the creating richness of the imagery chiaroscuro this in of madness and light is astonishing,1,random_swap,7
just the labour involved in creating the of richness layered the imagery in this and of madness chiaroscuro light is astonishing,1,random_swap,7
just the labour involved in creating chiaroscuro layered richness of the imagery light this the of madness and in is astonishing,1,random_swap,7
matthew lillard is play to born shaggy,1,random_swap,8
play lillard is born to matthew shaggy,1,random_swap,8
matthew lillard to born is play shaggy,1,random_swap,8
drab is it,0,random_swap,9
it drab is,0,random_swap,9
is it drab,0,random_swap,9
the film performances several strong has,1,random_swap,10
several film has the strong performances,1,random_swap,10
strong film has several the performances,1,random_swap,10
munch is screenplay is his observant of tenderly characters,1,random_swap,11
munch is screenplay his tenderly observant of is characters,1,random_swap,11
munch is screenplay of tenderly observant is his characters,1,random_swap,11
isabelle huppert excels as the enigmatic intense and anna mouglalis is a stunning new young mysteries in one of chabrol is most mika psychological talent,1,random_swap,12
isabelle huppert excels as the enigmatic mika and anna mouglalis is a talent intense young stunning in one of chabrol is most new psychological mysteries,1,random_swap,12
isabelle huppert the as mika enigmatic excels and anna mouglalis is a stunning new young talent in one of chabrol is most intense psychological mysteries,1,random_swap,12
cinematic cruelly funny twist on teen comedy packed with inventive a tricks and an ironically killer soundtrack,1,random_swap,13
inventive cruelly funny twist on teen comedy packed with a cinematic tricks and an ironically killer soundtrack,1,random_swap,13
a cruelly packed twist on teen comedy funny with inventive cinematic tricks and an ironically killer soundtrack,1,random_swap,13
tripe soulless techno predictably,0,random_swap,14
predictably techno soulless tripe,0,random_swap,14
techno soulless predictably tripe,0,random_swap,14
this has a well deserved reputation stylists one of the cinema world is great visual as and in tsai film every shot enhances the excellent performances,1,random_swap,15
tsai has a well deserved every as one of the cinema world reputation great visual stylists and in this film is shot enhances the excellent performances,1,random_swap,15
tsai has a enhances deserved reputation as well of the cinema world is great visual stylists and in this film every shot one the excellent performances,1,random_swap,15
some like it hot on the of proves once again that a man in drag is not hardwood and in himself funny,0,random_swap,16
some like it hot and the hardwood in once again that a man proves drag is not in on of himself funny,0,random_swap,16
some like it hot on the man proves once again that a hardwood in in is not drag and of himself funny,0,random_swap,16
for a movie about the power poetry of and passion there is precious little of either,0,random_swap,17
for a is about the power of poetry and passion there movie precious little of either,0,random_swap,17
for there movie about the power of poetry and passion a is precious little of either,0,random_swap,17
diggs and lathan brown among the chief reasons are sugar is such a sweet and sexy film,1,random_swap,18
diggs sexy lathan are among the chief reasons brown sugar is such a sweet and and film,1,random_swap,18
diggs and lathan are among the chief reasons brown film is such a sweet and sexy sugar,1,random_swap,18
uneven but a lot fun of,1,random_swap,19
uneven but a lot fun of,1,random_swap,19
uneven but a fun of lot,1,random_swap,19
when the film ended and felt tired and drained i wanted to lie while my own deathbed for a on,0,random_swap,20
felt the film ended i when tired wanted drained and and to lie on my own deathbed for a while,0,random_swap,20
when the film ended i felt tired and drained to wanted and lie on my own a for deathbed while,0,random_swap,20
contains sitcom humor characterization poignancy and intelligence of a bad the,0,random_swap,21
contains the characterization humor poignancy and intelligence of a bad sitcom,0,random_swap,21
contains the characterization humor poignancy and intelligence of a bad sitcom,0,random_swap,21
examination pretentious and ultimately empty a of a sick and evil woman,0,random_swap,22
a pretentious empty ultimately and examination of a sick and evil woman,0,random_swap,22
a pretentious empty ultimately and examination of a sick and evil woman,0,random_swap,22
i imagine easily can benigni is pinocchio becoming a christmas perennial,1,random_swap,23
i can easily imagine christmas is pinocchio becoming a benigni perennial,1,random_swap,23
i can easily imagine benigni is pinocchio becoming christmas a perennial,1,random_swap,23
generates an enormous empathy of feeling for its characters,1,random_swap,24
generates an enormous feeling empathy of for its characters,1,random_swap,24
generates an enormous feeling its empathy for of characters,1,random_swap,24
reggio is continual visual well is absorbing as barrage as thought provoking,1,random_swap,25
reggio as continual visual barrage is absorbing is well as thought provoking,1,random_swap,25
reggio is continual is barrage visual absorbing as well as thought provoking,1,random_swap,25
spreads itself too thin leaving well actors as these as the members of the commune short of profound characterizations,0,random_swap,26
these itself too thin leaving spreads actors as well as the members of the commune short of profound characterizations,0,random_swap,26
spreads profound too thin leaving these actors as well as the members of the commune short of itself characterizations,0,random_swap,26
once again director chris columbus takes a hat in hand allows to that rowling stifles creativity and approach the film to drag on for nearly three hours,0,random_swap,27
once again director chris columbus takes a hat and hand approach to rowling that stifles creativity in allows the film on drag to for nearly three hours,0,random_swap,27
once again director chris columbus allows takes hat in hand approach to rowling that stifles creativity and a the film to drag on for nearly three hours,0,random_swap,27
has all the hallmarks of a movie designed strictly for children all home video a market so insatiable olds absorbs is manner of lame entertainment diverting long as year it find it as,0,random_swap,28
has absorbs the hallmarks of a movie designed strictly for children is home video find market so insatiable it all all manner of lame entertainment long as as year olds a it diverting,0,random_swap,28
has all the hallmarks for a movie it strictly of children is home video a market lame insatiable it absorbs all manner of so entertainment as long as year olds find designed diverting,0,random_swap,28
a whale of a good time and both children for parents seeking christian themed fun,1,random_swap,29
a whale of a good time parents both children and for seeking christian themed fun,1,random_swap,29
a a of whale good time for both children and parents seeking christian themed fun,1,random_swap,29
there are holes plot big enough for shamu the killer whale to swim through,0,random_swap,30
there are through holes big enough for shamu the killer whale to swim plot,0,random_swap,30
there are plot holes big enough for shamu swim killer whale to the through,0,random_swap,30
director andrew niccol demonstrates the wry understanding of a quirks of fame,1,random_swap,31
director andrew niccol demonstrates a wry the of understanding quirks of fame,1,random_swap,31
director andrew niccol demonstrates a wry understanding the of quirks of fame,1,random_swap,31
a the for fans of british cinema if only because so many titans of must for are along industry the ride,1,random_swap,32
a must for ride of british cinema fans only because so many titans of the industry are along for the if,1,random_swap,32
a must are fans of british cinema if only because so the titans of many industry for along for the ride,1,random_swap,32
this clearly well intentioned though cross cultural soap opera is painfully formulaic and stilted,0,random_swap,33
though clearly well intentioned this cross cultural soap opera is stilted formulaic and painfully,0,random_swap,33
though this well intentioned clearly cross cultural soap opera is painfully formulaic and stilted,0,random_swap,33
that because is relatively nothing happens,0,random_swap,34
that happens because relatively nothing is,0,random_swap,34
that is because happens nothing relatively,0,random_swap,34
novak it a heartland so overwhelmed by its lack of purpose that contemplates seeks excitement in manufactured high drama,0,random_swap,35
novak contemplates a heartland so overwhelmed by its lack of purpose that it seeks drama in manufactured high excitement,0,random_swap,35
novak contemplates a seeks so overwhelmed by its lack of purpose that it heartland excitement in manufactured high drama,0,random_swap,35
utter conceited mush pap,0,random_swap,36
utter pap conceited mush,0,random_swap,36
conceited mush utter pap,0,random_swap,36
cassavetes thinks he is is dog day afternoon with a cause but all he is shrill making to reduce everything he touches to a done didactic cartoon,0,random_swap,37
cassavetes thinks done is making dog day afternoon with a cause but all shrill is he is to reduce everything he touches to a he didactic cartoon,0,random_swap,37
cassavetes thinks he is making dog day afternoon cartoon a cause but all he is done didactic to reduce everything he touches to a shrill is with,0,random_swap,37
parody disjointed,0,random_swap,38
parody disjointed,0,random_swap,38
disjointed parody,0,random_swap,38
it fact in is quite fun in places,1,random_swap,39
in fact it quite is fun in places,1,random_swap,39
in fact it is in fun quite places,1,random_swap,39
the can not be enjoyed even on it level that one enjoys a bad slasher flick it because primarily is dull,0,random_swap,40
primarily can not be enjoyed even on the level that one enjoys it bad slasher flick a because it is dull,0,random_swap,40
it even not be enjoyed can on the level that one enjoys a is slasher flick primarily because it bad dull,0,random_swap,40
it is always to fails a documentary when disappointing live up to or offer any new insight into its chosen topic,0,random_swap,41
to is always disappointing when a documentary fails to live up into or offer any new insight it its chosen topic,0,random_swap,41
it documentary always disappointing when a live fails to is up to or offer any new insight into its chosen topic,0,random_swap,41
in the it of the sopranos era feels painfully redundant and inauthentic,0,random_swap,42
painfully the era of the sopranos it feels in redundant and inauthentic,0,random_swap,42
in the era of the feels it sopranos painfully redundant and inauthentic,0,random_swap,42
a hypnotic cyber cruel and a hymn story of youth culture,1,random_swap,43
a story cyber hymn and a cruel hypnotic of youth culture,1,random_swap,43
a hypnotic cyber hymn and cruel a story of youth culture,1,random_swap,43
much of plain cast is stiff or just the bad,0,random_swap,44
much of or cast is stiff the just plain bad,0,random_swap,44
much of bad cast is stiff or just plain the,0,random_swap,44
i ve yet to find an actual south war combat movie actually produced either by the north or damn vietnamese but at least now we ve got something pretty vietnam close,1,random_swap,45
i find yet to ve an actual vietnam war combat movie close produced by either ve north or south vietnamese but at least now we the got something pretty damn actually,1,random_swap,45
i ve pretty to find an actual vietnam war north movie actually now by either the combat or south vietnamese but at least produced we ve got something yet damn close,1,random_swap,45
a bizarre piece of work with premise and dialogue at the level suspected kids television and plot threads as rape as teen pregnancy morose and of murder,0,random_swap,46
a bizarre piece of work with premise suspected dialogue morose the level of kids television and plot threads as at as teen pregnancy rape and and murder,0,random_swap,46
at bizarre piece of work with premise and of a the level dialogue kids television and plot threads as morose as teen pregnancy rape and suspected murder,0,random_swap,46
a documentary make to the stones weep as shameful as it is scary,0,random_swap,47
a documentary scary make the stones weep as shameful as it is to,0,random_swap,47
a documentary to is the stones weep as shameful as it make scary,0,random_swap,47
there is got to of a more graceful way of portraying the devastation be this disease,0,random_swap,48
there is more to be a got graceful way of portraying the devastation of this disease,0,random_swap,48
there is got to be this more graceful way of portraying the devastation of a disease,0,random_swap,48
and your thoughtful will be a reward emotional movie experience,1,random_swap,49
and your reward a be will thoughtful emotional movie experience,1,random_swap,49
and your reward emotional be a thoughtful will movie experience,1,random_swap,49
brash intelligent and erotically perplexing haneke upper portrait is an of class austrian society and the suppression of its tucked away demons is uniquely felt with a sardonic jolt,1,random_swap,50
brash intelligent and uniquely perplexing tucked is portrait of an upper class austrian society and the suppression of its haneke away demons is erotically felt with a sardonic jolt,1,random_swap,50
brash intelligent and erotically perplexing haneke is portrait tucked an upper class austrian its and the suppression of society of away demons is uniquely felt with a sardonic jolt,1,random_swap,50
it forces you to watch people doing unpleasant that to from other and themselves and it maintains a cool distance each its material things is deliberately unsettling,0,random_swap,51
it themselves you to watch people doing unpleasant things it each other and forces and to maintains a cool distance from its material that is deliberately unsettling,0,random_swap,51
cool forces doing to watch people you unpleasant things to each other and themselves and it maintains a it distance from its material that is deliberately unsettling,0,random_swap,51
it is the element of condescension as the from look down on their working class subjects filmmakers their lofty perch that finally makes sex with strangers which opens today metropolitan the new york in area distasteful so,0,random_swap,52
it is the element of the as condescension filmmakers look down on their working class subjects sex their lofty perch that finally strangers from with makes which opens today in the new york metropolitan area so distasteful,0,random_swap,52
it is the element of condescension as the filmmakers look down on their working class subjects from their lofty perch that finally makes today with strangers york opens new in the sex which metropolitan area so distasteful,0,random_swap,52
nothing of short a masterpiece and a challenging one,1,random_swap,53
nothing short of a masterpiece and a challenging one,1,random_swap,53
nothing short challenging a masterpiece and a of one,1,random_swap,53
i just saw it movie well this is probably not accurate to call it a movie,0,random_swap,54
i just saw this movie well it is probably not accurate to call it a movie,0,random_swap,54
i just saw this it well it is probably not accurate to call movie a movie,0,random_swap,54
a muted out freak,0,random_swap,55
a freak muted out,0,random_swap,55
out muted freak a,0,random_swap,55
there is that underlying old world sexism to monday morning an undercuts its charm,0,random_swap,56
there is an underlying old world monday to sexism morning that undercuts its charm,0,random_swap,56
there is an underlying old that sexism to monday morning world undercuts its charm,0,random_swap,56
taken up a whole the tuxedo does nt add as to a whole lot,0,random_swap,57
taken as a whole the tuxedo does whole add up to a nt lot,0,random_swap,57
taken as a whole tuxedo the does nt add up to a whole lot,0,random_swap,57
though the film is static its right director is heart is in democracy writer place his plea for the and civic action laudable,1,random_swap,58
democracy its film is static the writer director is heart is in the right place his plea for though and civic action laudable,1,random_swap,58
though is film the static its civic director is heart is in the right place his plea for democracy and writer action laudable,1,random_swap,58
with mcconaughey in to entirely irony free zone and bale reduced mainly intelligence batting his sensitive eyelids and is not enough an wit or innovation on the screen to attract there sustain an older crowd,0,random_swap,59
with mcconaughey in the entirely irony free zone and bale reduced sustain to batting his sensitive eyelids there is not enough intelligence wit or innovation on an screen to attract and mainly older an crowd,0,random_swap,59
not mcconaughey in an the irony free zone and to reduced mainly bale batting his sensitive eyelids there is with enough intelligence wit or innovation on entirely screen to attract and sustain an older crowd,0,random_swap,59
skin of man gets a few cheap shocks from kids its in the theatrics but it also taps into the cope fears of young people trying to primal with peril mysterious and brutal nature of adults,1,random_swap,60
in a man peril of few cheap shocks from its kids skin gets theatrics but it also taps into the primal fears of young people trying to cope with the mysterious and brutal nature of adults,1,random_swap,60
kids of man gets a few cheap shocks from its skin in cope theatrics but it also taps into the primal fears of people young trying to peril with the mysterious and brutal nature of adults,1,random_swap,60
what it lacks in substance up makes it for in heart,1,random_swap,61
heart it lacks in substance it makes up for in what,1,random_swap,61
what it lacks in substance it makes up heart in for,1,random_swap,61
like all great films about a life you final knew existed it offers much to absorb and even about to think more after the never frame,1,random_swap,62
like all great films offers a life you never knew existed it about much to absorb and even more final think about after the to frame,1,random_swap,62
all think great films about a life you never knew existed it offers much to absorb and even more to like about after the final frame,1,random_swap,62
aspirations average b movie with no an to be anything more,0,random_swap,63
an average to movie with no aspirations b be anything more,0,random_swap,63
