sentence,label,augmentation_type,orig_index
neil burger here succeeded in making the thomas more mystery of four decades back the springboard point of departure for a more immediate mystery in the present,1,random_insertion,0
neil burger here succeeded in making the prompt mystery of four decades back the springboard for a more immediate mystery in the present,1,random_insertion,0
neil burger here succeeded in making the deliver mystery point of departure of four decades back the springboard for a more immediate mystery in the present,1,random_insertion,0
it is a visual psychometric test rorschach test and i must have failed,0,random_insertion,1
it is equal a visual rorschach test and i must have failed,0,random_insertion,1
it is a visual type a rorschach test and i must have failed,0,random_insertion,1
the only way to tolerate this insipid brutally clueless film might be with a large flat dose of painkillers,0,random_insertion,2
the only way to tolerate this insipid brutally clueless film might be with a large dose cinema of painkillers,0,random_insertion,2
battery acid the only way to tolerate this insipid brutally clueless film might be with a large dose of painkillers,0,random_insertion,2
scores no points for originality wit nobelium or intelligence,0,random_insertion,3
scores no points for operating room originality wit or intelligence,0,random_insertion,3
scores no points for originality intelligence service wit or intelligence,0,random_insertion,3
it would take a complete moron to foul up a screen adaptation of oscar wilde is type a classic satire,0,random_insertion,4
it would concealment take a complete moron to foul up a screen adaptation of oscar wilde is classic satire,0,random_insertion,4
it would take a complete classical moron to foul up a screen adaptation of oscar wilde is classic satire,0,random_insertion,4
pure cinematic intoxication a wildly inventive mixture of comedy and melodrama intermixture tastelessness and swooning elegance,1,random_insertion,5
pure cinematic intoxication a wildly inventive imaginative mixture of comedy and melodrama tastelessness and swooning elegance,1,random_insertion,5
pure cinematic intoxication a wildly inventive mixture of comedy and melodrama tastelessness and funniness swooning elegance,1,random_insertion,5
trouser it is not the first time throw that director sara sugarman stoops to having characters drop their pants for laughs and not the last time she fails to provoke them,0,random_insertion,6
it is not the first time that director sara sugarman stoops to having characters drop their pants for laughs non and not the last time she fails to live provoke them,0,random_insertion,6
it is not the first time that director sara sugarman stoops to having characters drop their clock time pants for laughs and not the last time she fails clock time to provoke them,0,random_insertion,6
just the labour involved in creating the layered astound richness of the imagery in this equal chiaroscuro of madness and light is astonishing,1,random_insertion,7
just the labour create involved in creating the layered richness of the imagery in this chiaroscuro of madness and light postulate is astonishing,1,random_insertion,7
just the labour involved in creating the layered richness of the imagery superimposed in this superimposed chiaroscuro of madness and light is astonishing,1,random_insertion,7
matthew lillard is st matthew the apostle born to play shaggy,1,random_insertion,8
matthew bid lillard is born to play shaggy,1,random_insertion,8
matthew lillard is born to play natural shaggy,1,random_insertion,8
it is dismal drab,0,random_insertion,9
it is dismal drab,0,random_insertion,9
it is dismal drab,0,random_insertion,9
the film has several hour angle strong performances,1,random_insertion,10
the film respective has several strong performances,1,random_insertion,10
the film has respective several strong performances,1,random_insertion,10
munch is equal screenplay is tenderly observant of his characters,1,random_insertion,11
munch is screenplay is tenderly observant quality of his characters,1,random_insertion,11
munch is screenplay is tenderly edvard munch observant of his characters,1,random_insertion,11
isabelle huppert excels as equal the enigmatic mika and puzzling anna mouglalis is a stunning new young talent in one of chabrol is most intense psychological mysteries,1,random_insertion,12
isabelle huppert excels as the enigmatic mika and modern gift anna mouglalis is a stunning new young talent in one of chabrol is most intense psychological mysteries,1,random_insertion,12
isabelle huppert excels as the enigmatic mika and anna mouglalis modern is a stunning new young talent in one of chabrol is most modern intense psychological mysteries,1,random_insertion,12
a cruelly funny stripling twist on teen comedy packed with inventive cinematic tricks and an ironically killer soundtrack,1,random_insertion,13
a cruelly funny twist on teen carry comedy packed with inventive cinematic tricks and an ironically killer soundtrack,1,random_insertion,13
a cruelly funny twist on teen comedy packed with inventive cinematic tricks and imaginative an ironically killer soundtrack,1,random_insertion,13
predictably trumpery soulless techno tripe,0,random_insertion,14
predictably soulless trumpery techno tripe,0,random_insertion,14
predictably soulless techno trumpery tripe,0,random_insertion,14
tsai has a well deserved reputation as one of the hour angle cinema world is great visual advantageously stylists and in this film every shot enhances the excellent performances,1,random_insertion,15
tsai has a well deserved reputation as one of the cinema world is great visual stylists and report in this cinema film every shot enhances the excellent performances,1,random_insertion,15
tsai has a bourgeon well deserved reputation as one of the stylist cinema world is great visual stylists and in this film every shot enhances the excellent performances,1,random_insertion,15
some like it hot on the hardwood proves once again that a type a man in drag is not erstwhile in and of himself funny,0,random_insertion,16
scuff some like it raging hot on the hardwood proves once again that a man in drag is not in and of himself funny,0,random_insertion,16
some like it hot on the hardwood erstwhile proves once again that a man in drag is not information technology in and of himself funny,0,random_insertion,16
for a movie about the power of poetry and passion there is precious type a little of either,0,random_insertion,17
for a movie about the power king of poetry and passion there is precious little of either,0,random_insertion,17
for a movie about the power of poetry and passion there preciously is precious little of either,0,random_insertion,17
diggs and lathan are among the chief reasons brown sugar is such a john brown sweet and sexy film,1,random_insertion,18
diggs and lathan are among the chief reasons pelf brown sugar is such a sweet and sexy film,1,random_insertion,18
diggs and lathan are among the conclude chief reasons brown sugar is such a sweet and sexy film,1,random_insertion,18
uneven but mountain a lot of fun,1,random_insertion,19
uneven but a odd lot of fun,1,random_insertion,19
